Drug_A,Drug_B,Side_Effect,Severity_Score,Severity
Clavulanate,Hexetidine,Death,0.454545,Minor
Metoclopramide,Dothiepin,Disseminated intravascular coagulation,10.0,Major
degarelix,loxoprofen,Anaemia,3.33333,Moderate
valsartan,Lovastatin,Anaemia,1.13208,Minor
Sertraline,Meprobamate,Anaemia,1.25,Minor
Sucralfate,Nizatidine,Anaemia,10.0,Major
Lactobacillus acidophilus,ferrous sulfate,Dyspnoea,1.53846,Minor
Methylphenidate,leflunomide,Chest pain,1.42857,Minor
Azithromycin,Paclitaxel,Anaemia,30.0,Major
Hydrochlorothiazide,Flunitrazepam,Jaundice,10.0,Major
Lysine,irbesartan,Anaemia,3.33333,Moderate
Filgrastim,Dolasetron,Anaemia,20.0,Major
Cholecalciferol,"Regular Insulin, Human",Anaemia,6.66667,Major
Calcium Carbonate,lamotrigine,Anaemia,1.17647,Minor
dichloralphenazone,Promethazine,Anaemia,10.0,Major
Magnesium,Dipyrone,Anaemia,3.33333,Moderate
Hydrochlorothiazide,palonosetron,Anaemia,4.44444,Moderate
Ethanol,metaxalone,Leukopenia,10.0,Major
duloxetine,Nicorandil,Anaemia,3.33333,Moderate
ferrous sulfate,Finasteride,Anaemia,5.0,Major
rabeprazole,Thalidomide,Iron deficiency anaemia,10.0,Major
Estradiol,Leuprolide,Anaemia,1.33333,Minor
Levocarnitine,sevelamer,Anaemia,10.0,Major
krill oil,gabapentin,Vision blurred,5.0,Major
zolpidem,Diltiazem,Iron deficiency anaemia,3.33333,Moderate
Escitalopram,Goserelin,Anaemia,30.0,Major
valacyclovir,norgestimate,Dizziness,5.0,Major
Vancomycin,Ranitidine,Iron deficiency anaemia,10.0,Major
Vitamin A,atorvastatin,Iron deficiency anaemia,1.81818,Minor
Gliclazide,leflunomide,Anaemia,4.0,Moderate
Warfarin,buflomedil,Anaemia,5.0,Major
Lovastatin,rizatriptan,Dyspnoea,2.0,Moderate
Midazolam,Nefopam,Anaemia,1.42857,Minor
tamsulosin,Saw palmetto extract,Anaemia,1.66667,Minor
repaglinide,"sennosides, USP",Anaemia,10.0,Major
Gemtuzumab ozogamicin,Loperamide,Acute myeloid leukaemia,10.0,Major
Prednisone,Iopamidol,Anaemia,1.25,Minor
Phenprocoumon,Triamterene,Anaemia,3.33333,Moderate
Atazanavir,Atenolol,Anaemia,2.5,Moderate
Chlorpheniramine,Oxycodone,Anaemia,4.0,Moderate
Etanercept,Metoclopramide,Anaemia,4.44444,Moderate
Esomeprazole,Clindamycin,Iron deficiency anaemia,1.66667,Minor
fexofenadine,adalimumab,Anaemia,0.325203,Minor
Metoprolol,cyclobenzaprine,Iron deficiency anaemia,1.0,Minor
Ethinyl Estradiol,Atenolol,Anaemia,0.666667,Minor
Tobramycin,latanoprost,Dyspnoea,1.11111,Minor
"Insulin, Aspart, Human",Methimazole,Anaemia,3.33333,Moderate
fludarabine,Sirolimus,Anaemia,4.0,Moderate
Etanercept,infliximab,Iron deficiency anaemia,2.0,Moderate
palonosetron,Ranitidine,Iron deficiency anaemia,3.33333,Moderate
Cefotaxime,Doxycycline,Anaemia,3.33333,Moderate
moxifloxacin,Acetylcysteine,Anaemia,3.33333,Moderate
rivaroxaban,Captopril,Anaemia,3.33333,Moderate
thyroid (USP),Progesterone,Anaemia,0.833333,Minor
Hydrochlorothiazide,red yeast rice,Anaemia,3.33333,Moderate
Diazepam,Methylphenidate,Anaemia,1.62162,Minor
Triamcinolone,varenicline,Anaemia,3.75,Moderate
Loxapine,Trimeprazine,Anaemia,1.42857,Minor
Diclofenac,drospirenone,Dizziness,1.81818,Minor
ambrisentan,meloxicam,Anaemia,4.28571,Moderate
Albuterol,standardized senna concentrate,Iron deficiency anaemia,5.0,Major
meropenem,Pentazocine,Anaemia,7.5,Major
Hydromorphone,Interferon beta-1a,Anaemia,1.66667,Minor
Lactobacillus acidophilus,Ceftriaxone,Anaemia,5.0,Major
Vitamin E,Teriparatide,Anaemia,1.48148,Minor
Codeine,ropinirole,Anaemia,2.5,Moderate
Busulfan,Cyclosporine,Anaemia,0.950413,Minor
Immunoglobulin A,Cyclosporine,Anaemia,0.666667,Minor
Ibuprofen,Naloxone,Anaemia,14.0,Major
moxifloxacin,Theophylline,Anaemia,1.42857,Minor
Oxazepam,Trimeprazine,Anaemia,1.53846,Minor
rivaroxaban,Pravastatin,Iron deficiency anaemia,3.33333,Moderate
Epirubicin,Metformin,Anaemia,2.85714,Moderate
hydroquinone,Hydroxychloroquine,Supraventricular tachycardia,10.0,Major
Ibuprofen,Methylprednisolone,Iron deficiency anaemia,1.25,Minor
Carisoprodol,Oxycodone,Iron deficiency anaemia,3.07692,Moderate
zonisamide,carbazochrome,Pancytopenia,10.0,Major
Haloperidol,Meclizine,Anaemia,3.33333,Moderate
Vecuronium,Fentanyl,Anaemia,0.40404,Minor
Heparinoids,sitagliptin,Pneumonia,5.0,Major
icosapent ethyl,Magnesium Oxide,Anaemia,27.5,Major
Diazepam,Prilocaine,Anaemia,6.66667,Major
Warfarin,rivastigmine,Anaemia,2.72727,Moderate
tocilizumab,Valproate,Anaemia,3.33333,Moderate
Thiotepa,rituximab,Anaemia,2.0,Moderate
Trimetazidine,bortezomib,Thrombocytopenia,10.0,Major
Risperidone,Oxazepam,Anaemia,1.69811,Minor
entecavir,Metoprolol,Anaemia,5.0,Major
Zidovudine,efavirenz,Iron deficiency anaemia,1.66667,Minor
Lidocaine,Fenofibrate,Anaemia,1.42857,Minor
rosiglitazone,Paroxetine,Anaemia,0.943396,Minor
Metformin,Sumatriptan,Iron deficiency anaemia,5.0,Major
Folic Acid,Cyclizine,Anaemia,1.66667,Minor
Vancomycin,Chlordiazepoxide,Anaemia,10.0,Major
Eucalyptol,methyl salicylate,Anaemia,0.357143,Minor
Epirubicin,valsartan,Anaemia,10.0,Major
abacavir,maraviroc,Anaemia,1.42857,Minor
Sumatriptan,tenofovir disoproxil,Anaemia,3.33333,Moderate
Leuprolide,Doxazosin,Anaemia,1.42857,Minor
Phenprocoumon,exenatide,Anaemia,10.0,Major
zafirlukast,azelastine,Anaemia,10.0,Major
bivalirudin,Metoprolol,Anaemia,3.33333,Moderate
Biperiden,clobazam,Drug rash with eosinophilia and systemic symptoms,20.0,Major
Risperidone,Bendroflumethiazide,Jaundice,3.33333,Moderate
capecitabine,Nicardipine,Neutropenia,10.0,Major
Carbidopa,Sotalol,Dizziness,1.66667,Minor
Sertraline,armodafinil,Anaemia,1.25,Minor
olanzapine,Trospium,Anaemia,16.6667,Major
Alprazolam,Amoxapine,Anaemia,3.33333,Moderate
Lamivudine,Nevirapine,Anaemia,4.21203,Moderate
Spironolactone,Melatonin,Anaemia,1.42857,Minor
Erythromycin,Minoxidil,Dizziness,5.0,Major
Norfloxacin,Phenobarbital,Anaemia,5.0,Major
Ondansetron,Ranitidine,Iron deficiency anaemia,1.66667,Minor
Calcium Carbonate,Calcitriol,Iron deficiency anaemia,2.5,Moderate
aripiprazole,reboxetine,Neutropenia,5.0,Major
Amlodipine,thyroid (USP),Anaemia,2.5,Moderate
butylscopolamine,Calcium,Dizziness,2.5,Moderate
bamifylline,tiotropium,Thrombocytopenia,3.33333,Moderate
Lithium Carbonate,Hydroxyzine,Anaemia,0.909091,Minor
Furosemide,Prochlorperazine,Iron deficiency anaemia,2.85714,Moderate
Furosemide,naratriptan,Dyspnoea,3.33333,Moderate
Folic Acid,Solifenacin,Anaemia,3.63636,Moderate
Medroxyprogesterone,Lithium Carbonate,Anaemia,5.0,Major
Isosorbide,Methotrexate,Anaemia,3.21429,Moderate
Losartan,Gliclazide,Anaemia,1.03448,Minor
Risedronate,nabumetone,Anaemia,2.5,Moderate
Haloperidol,Pravastatin,Anaemia,2.5,Moderate
Temazepam,Doxazosin,Anaemia,1.81818,Minor
Doxycycline,Cefuroxime,Anaemia,5.45455,Major
Dalteparin,Chlorpheniramine,Anaemia,2.5,Moderate
Aspirin,nabumetone,Anaemia,1.96429,Minor
Omeprazole,Rotigotine,Anaemia,1.66667,Minor
pantoprazole,brinzolamide,Anaemia,1.42857,Minor
Lutein,atorvastatin,Anaemia,2.5,Moderate
Fenofibrate,Metoclopramide,Anaemia,4.0,Moderate
Glucosamine,Tocopherol,Anaemia,3.33333,Moderate
Perindopril,Clomipramine,Anaemia,5.0,Major
tocilizumab,Methotrexate,Iron deficiency anaemia,0.666667,Minor
Penicillin V,Lactulose,Tinnitus,10.0,Major
Flecainide,Fluorouracil,Anaemia,3.33333,Moderate
Sulfamethoxazole,levocetirizine,Pancytopenia,10.0,Major
Simvastatin,hydroquinone,Anaemia,1.25,Minor
Canrenoate,atorvastatin,Anaemia,8.0,Major
tolvaptan,Ticlopidine,Pancytopenia,10.0,Major
geranylgeranylacetone,Methotrexate,Anaemia,3.21429,Moderate
Levodopa,Pravastatin,Anaemia,1.42857,Minor
Granisetron,ado-trastuzumab emtansine,Dyspnoea,3.33333,Moderate
atorvastatin,ertapenem,Anaemia,4.0,Moderate
pyridoxine,Pantothenic Acid,Multi-organ failure,10.0,Major
olanzapine,Clomipramine,Anaemia,3.91304,Moderate
Indapamide,Ticlopidine,Bradycardia,10.0,Major
tinzaparin,Codeine,Anaemia,5.71429,Major
Norepinephrine,Aprotinin,Anaemia,0.740741,Minor
Folic Acid,liraglutide,Anaemia,2.0,Moderate
Ibuprofen,oxatomide,Jaundice,20.0,Major
lapatinib,Hydromorphone,Anaemia,1.25,Minor
topiramate,naratriptan,Disseminated intravascular coagulation,6.66667,Major
Estradiol,Ospemifene,Dizziness,1.11111,Minor
fesoterodine,celecoxib,Anaemia,1.25,Minor
celecoxib,Silymarin,Dizziness,3.33333,Moderate
Leuprolide,Prednisone,Iron deficiency anaemia,3.33333,Moderate
Ethiodized Oil,Doxorubicin,Dizziness,1.66667,Minor
oxybutynin,clopidogrel,Iron deficiency anaemia,20.0,Major
tropisetron,Melphalan,Dyspnoea,1.42857,Minor
Ethinyl Estradiol,Buprenorphine,Anaemia,0.576923,Minor
Chorionic Gonadotropin,Clomiphene,Anaemia,1.66667,Minor
cyamemazine,Bromazepam,Anaemia,4.44444,Moderate
aripiprazole,Lisdexamfetamine,Lymphadenopathy,2.0,Moderate
moxifloxacin,Promethazine,Iron deficiency anaemia,20.0,Major
Norethindrone,Ondansetron,Coagulopathy,60.0,Major
Magnesium,Interferon beta-1a,Tachycardia,3.33333,Moderate
ferrous sulfate,tegaserod,Anaemia,15.0,Major
Insulin Lispro,Verapamil,Anaemia,1.25,Minor
Pseudoephedrine,Carbidopa,Nausea,4.0,Moderate
tamsulosin,Misoprostol,Anaemia,2.5,Moderate
fesoterodine,Dutasteride,Anaemia,3.33333,Moderate
Codeine,Phenazopyridine,Anaemia,20.0,Major
Medroxyprogesterone,Ethinyl Estradiol,Anaemia,0.50505,Minor
olanzapine,Mineral Oil,Drug ineffective,2.5,Moderate
ramelteon,Bupropion,Anaemia,3.33333,Moderate
certolizumab pegol,Ketoprofen,Anaemia,1.42857,Minor
Ibuprofen,Hydroxychloroquine,Anaemia,1.30952,Minor
Citalopram,oxcarbazepine,Anaemia,0.588235,Minor
Ibandronate,trandolapril,Dizziness,5.0,Major
Famotidine,Minocycline,Anaemia,10.6667,Major
Magnesium Hydroxide,Calcium Citrate,Atrial fibrillation,3.33333,Moderate
Carbidopa,adalimumab,Dizziness,3.33333,Moderate
Calcium Carbonate,pantoprazole,Iron deficiency anaemia,1.81818,Minor
Vitamin A,Grape Seed Extract,Anaemia,6.66667,Major
abciximab,Trimetazidine,Atrial fibrillation,3.33333,Moderate
Phloroglucinol,magnesium trisilicate,Anaemia,20.0,Major
Quinidine,carvedilol,Anaemia,15.0,Major
Omega-3 Acid Ethyl Esters (USP),Haloperidol,Dizziness,3.33333,Moderate
Timolol,zoledronic acid,Anaemia,22.5,Major
prednisolone,Polysaccharide iron complex,Dyspnoea,2.5,Moderate
Cefoperazone,atorvastatin,Nausea,1.42857,Minor
capecitabine,Nitrendipine,Syncope,3.33333,Moderate
Lorazepam,Triamcinolone,Anaemia,4.42623,Moderate
Oxycodone,montelukast,Anaemia,3.03371,Moderate
atorvastatin,Isradipine,Anaemia,1.66667,Minor
Loperamide,lercanidipine,Thrombocytopenia,3.33333,Moderate
olmesartan,aprepitant,Anaemia,5.0,Major
Lovastatin,glimepiride,Anaemia,2.30769,Moderate
Trazodone,atomoxetine,Anaemia,0.588235,Minor
olmesartan,Cetirizine,Iron deficiency anaemia,3.33333,Moderate
Niacin,saxagliptin,Anaemia,1.66667,Minor
fluindione,bosentan,Anaemia,6.0,Major
Acetazolamide,Phenytoin,Anaemia,2.0,Moderate
Hydromorphone,Methotrexate,Iron deficiency anaemia,3.33333,Moderate
Trimethoprim,Propranolol,Anaemia,4.28571,Moderate
Hyoscyamine,Ondansetron,Anaemia,3.125,Moderate
Ascorbic Acid,Aluminum Hydroxide,Atrial fibrillation,20.0,Major
Fosinopril,gabapentin,Anaemia,5.90909,Major
topiramate,rosiglitazone,Anaemia,1.11111,Minor
Benserazide,Gliclazide,Agranulocytosis,10.0,Major
Hydromorphone,belimumab,Cardiac disorder,3.33333,Moderate
Nystatin,Dolasetron,Anaemia,10.0,Major
bortezomib,Rasburicase,Thrombocytopenia,10.0,Major
aripiprazole,Chloramphenicol,Dyspnoea,1.0,Minor
Urea,Amoxicillin,Cardiac disorder,5.0,Major
Budesonide,Carbamazepine,Anaemia,1.25,Minor
Ritonavir,sildenafil,Anaemia,1.11111,Minor
telmisartan,Felodipine,Anaemia,4.44444,Moderate
ipilimumab,Methylprednisolone,Anaemia,1.25,Minor
Amlodipine,Etidronate,Increased tendency to bruise,20.0,Major
Hydrocodone,entecavir,Nausea,1.25,Minor
Pentamidine,Lidocaine,Anaemia,3.33333,Moderate
Epinephrine,tolterodine,Anaemia,10.0,Major
Pentoxifylline,tiotropium,Anaemia,4.0,Moderate
Perindopril,tolvaptan,Anaemia,3.33333,Moderate
Hydrocortisone,pemetrexed,Anaemia,15.0,Major
venlafaxine,Metoprolol,Iron deficiency anaemia,1.33333,Minor
metaproterenol,raltegravir,Gastrointestinal disorder,10.0,Major
Morphine,dabrafenib,Anaemia,3.33333,Moderate
Trihexyphenidyl,Pravastatin,Dyspnoea,1.11111,Minor
tizanidine,sitagliptin,Anaemia,1.66667,Minor
formoterol,indacaterol,Anaemia,1.66667,Minor
Triazolam,Clonidine,Anaemia,15.0,Major
linezolid,Iron,Anaemia,20.0,Major
Enoxaparin,Nicardipine,Anaemia,3.63636,Moderate
sildenafil,Ursodeoxycholate,Anaemia,35.0,Major
Etanercept,salmon calcitonin,Haemorrhagic anaemia,10.0,Major
Levofloxacin,Ganciclovir,Anaemia,1.66667,Minor
Isosorbide Dinitrate,Fluvoxamine,Petechiae,10.0,Major
alemtuzumab,fludarabine,Anaemia,1.1976,Minor
Etanercept,Testosterone,Anaemia,0.909091,Minor
Diphenhydramine,Azathioprine,Anaemia,1.66667,Minor
Pentamidine,doripenem,Pancytopenia,10.0,Major
tizanidine,Hydromorphone,Anaemia,2.90323,Moderate
Ceftriaxone,ivabradine,Pancytopenia,10.0,Major
insulin detemir,Memantine,Anaemia,3.33333,Moderate
paricalcitol,Potassium Chloride,Anaemia,1.0,Minor
Lysine,Potassium Chloride,Anaemia,5.0,Major
Oxycodone,Phenytoin,Anaemia,4.22222,Moderate
POLYETHYLENE GLYCOL 3350,Omeprazole,Iron deficiency anaemia,11.4286,Major
Dutasteride,Ranitidine,Anaemia,3.75,Moderate
Naltrexone,rosuvastatin,Dizziness,2.5,Moderate
Nitrazepam,atorvastatin,Anaemia,1.0,Minor
Atropine,Pyridostigmine,Pancytopenia,10.0,Major
Atenolol,Leucovorin,Anaemia,1.42857,Minor
"sennosides, USP",Doxazosin,Anaemia,2.5,Moderate
Lisinopril,zolpidem,Iron deficiency anaemia,7.89474,Major
Vitamin B6,rofecoxib,Anaemia,20.0,Major
Lovastatin,Valproate,Anaemia,1.53846,Minor
moxonidine,Phenprocoumon,Pancytopenia,10.0,Major
eletriptan,dimethyl fumarate,Dizziness,2.5,Moderate
rosuvastatin,Allopurinol,Iron deficiency anaemia,5.0,Major
Losartan,Hydroxychloroquine,Anaemia,2.22222,Moderate
Deferoxamine,Vitamin E,Lymphadenopathy,10.0,Major
Dinoprostone,Oxytocin,Anaemia,1.11111,Minor
clobazam,Ketamine,Drug rash with eosinophilia and systemic symptoms,10.0,Major
Hydralazine,formoterol,Anaemia,3.75,Moderate
carfilzomib,Escitalopram,Anaemia,3.33333,Moderate
bimatoprost,modafinil,Dyspnoea,2.0,Moderate
Cyproterone,Dexamethasone,Dyspnoea,1.66667,Minor
topiramate,denosumab,Dizziness,1.0,Minor
Carbidopa,ropinirole,Anaemia,1.17647,Minor
aripiprazole,olmesartan,Anaemia,1.66667,Minor
Clavulanate,aprepitant,Anaemia,3.33333,Moderate
Oxymorphone,metaxalone,Anaemia,6.66667,Major
Doxepin,Trazodone,Anaemia,1.42857,Minor
Isosorbide Dinitrate,Nisoldipine,Anaemia,10.0,Major
Goserelin,denosumab,Anaemia,1.81818,Minor
aflibercept,Fluorouracil,Anaemia,1.85185,Minor
gabapentin,Gadopentetate Dimeglumine,Anaemia,2.22222,Moderate
Caspofungin,Haloperidol,Anaemia,15.0,Major
Melatonin,Calcium,Anaemia,1.42857,Minor
Acetaminophen,desflurane,Anaemia,1.42857,Minor
zolmitriptan,frovatriptan,Dizziness,1.42857,Minor
Milrinone,Dobutamine,Anaemia,5.0,Major
Risperidone,Ticagrelor,Anaemia,1.25,Minor
infliximab,Meperidine,Anaemia,1.66667,Minor
metaxalone,Sodium Chloride,Dyspnoea,2.0,Moderate
Clodronic Acid,bevacizumab,Tachycardia,10.0,Major
Esomeprazole,cevimeline,Iron deficiency anaemia,10.0,Major
Albuterol,Oxytetracycline,Dizziness,1.42857,Minor
pantoprazole,Chlorthalidone,Anaemia,3.33333,Moderate
Econazole,Amoxicillin,Anaemia,13.3333,Major
salmeterol,Prilocaine,White blood cell disorder,10.0,Major
ambrisentan,Metoprolol,Anaemia,2.30088,Moderate
latanoprost,dimethyl fumarate,Anaemia,3.33333,Moderate
defibrotide,Methotrexate,Anaemia,3.33333,Moderate
Pentamidine,"Insulin, Aspart, Human",Jaundice,20.0,Major
Metronidazole,Mebendazole,Anaemia,3.33333,Moderate
Carisoprodol,zaleplon,Thrombocytopenia,3.33333,Moderate
quinapril,Spironolactone,Anaemia,3.75,Moderate
tocilizumab,Vitamin B6,Neutropenia,10.0,Major
Mycophenolic Acid,Acyclovir,Anaemia,2.85714,Moderate
Camphor,zolpidem,Anaemia,3.33333,Moderate
Etanercept,Digoxin,Anaemia,1.66667,Minor
Ofloxacin,torsemide,Lymphadenopathy,10.0,Major
rabeprazole,Ketorolac,Iron deficiency anaemia,5.0,Major
Bumetanide,Phenytoin,Anaemia,3.33333,Moderate
Epinephrine,omalizumab,Anaemia,0.37037,Minor
Oxycodone,Daunorubicin,Anaemia,4.54545,Moderate
ustekinumab,Simvastatin,Anaemia,0.588235,Minor
Metformin,almotriptan,Lymphoedema,10.0,Major
Oxymetazoline,Vitamin D,Dizziness,4.0,Moderate
Bupropion,olopatadine,Bradycardia,5.0,Major
Guaifenesin,Ketotifen,Jaundice,10.0,Major
telmisartan,Clonazepam,Anaemia,0.689655,Minor
Famotidine,Megestrol,Anaemia,8.23529,Major
tazarotene,Doxycycline,Cardiac disorder,3.33333,Moderate
Trimeprazine,raltegravir,Neutropenia,20.0,Major
lornoxicam,pioglitazone,Anaemia,5.0,Major
carfilzomib,pamidronate,Anaemia,3.33333,Moderate
Piperacillin,Sirolimus,Anaemia,3.33333,Moderate
Clozapine,Beclomethasone,Anaemia,1.66667,Minor
Metformin,Digoxin,Iron deficiency anaemia,6.25,Major
Epinephrine,Oxymetazoline,Dyspnoea,3.33333,Moderate
Levetiracetam,atomoxetine,Dizziness,1.25,Minor
Droperidol,Propofol,Anaemia,0.416667,Minor
Salicylic Acid,Docusate,Dizziness,3.33333,Moderate
rivaroxaban,Testosterone,Anaemia,6.66667,Major
armodafinil,Fluvoxamine,Dizziness,5.0,Major
tenofovir disoproxil,adalimumab,Diarrhoea,2.5,Moderate
montelukast,metaxalone,Anaemia,1.875,Minor
Sertraline,Dextroamphetamine,Iron deficiency anaemia,2.5,Moderate
Succinylcholine,sodium citrate,Anaemia,1.11111,Minor
Propranolol,Mexiletine,Ventricular extrasystoles,20.0,Major
Metronidazole,lacosamide,Dyspnoea,1.66667,Minor
calcium acetate,Calcium,Anaemia,15.0,Major
Folic Acid,Trospium,Anaemia,1.66667,Minor
olmesartan,Carbidopa,Dizziness,1.66667,Minor
Risperidone,Biperiden,Anaemia,1.72414,Minor
Enalapril,Clozapine,Anaemia,1.66667,Minor
Econazole,Phloroglucinol,Anaemia,15.0,Major
tetrazepam,Indapamide,Drug rash with eosinophilia and systemic symptoms,20.0,Major
eprosartan,lansoprazole,Bradycardia,5.0,Major
Spironolactone,gabapentin,Iron deficiency anaemia,1.66667,Minor
Immunoglobulin G,Memantine,Dizziness,6.66667,Major
Metformin,dasatinib,Anaemia,4.44444,Moderate
Iothalamic Acid,Sodium Chloride,Pulmonary oedema,2.22222,Moderate
Nitric Oxide,Albuterol,Dyspnoea,1.66667,Minor
Cisapride,Potassium Chloride,Anaemia,15.0,Major
glimepiride,Dextroamphetamine,Anaemia,3.33333,Moderate
Peppermint oil,Beclomethasone,Syncope,10.0,Major
Sodium Oxybate,Insulin Glargine,Anaemia,1.5493,Minor
Levodopa,quetiapine,Anaemia,1.63636,Minor
bevacizumab,Levofloxacin,Iron deficiency anaemia,20.0,Major
Perindopril,Fentanyl,Anaemia,4.28571,Moderate
Lamivudine,Insulin Glargine,Anaemia,1.66667,Minor
Magnesium Chloride,Pilocarpine,Death,1.11111,Minor
Morphine,cefepime,Anaemia,8.46154,Major
Furosemide,Cefazolin,Iron deficiency anaemia,2.5,Moderate
Foscarnet,Magnesium Sulfate,Anaemia,3.33333,Moderate
Estradiol,Loratadine,Anaemia,1.5,Minor
Metformin,apixaban,Anaemia,3.91304,Moderate
dimethicone,Granisetron,Pancytopenia,10.0,Major
exenatide,Gemfibrozil,Anaemia,1.53846,Minor
Doxycycline,adapalene,Anaemia,1.25,Minor
Mometasone,cetuximab,Dyspnoea,4.0,Moderate
valacyclovir,Ranitidine,Anaemia,3.61111,Moderate
miglitol,exenatide,Dizziness,4.0,Moderate
pregabalin,ziprasidone,Anaemia,1.0,Minor
valsartan,Phenobarbital,Anaemia,1.66667,Minor
Folic Acid,irinotecan,Anaemia,4.28571,Moderate
tamsulosin,Acyclovir,Anaemia,4.0,Moderate
Ibuprofen,oxcarbazepine,Anaemia,1.90476,Minor
Norfloxacin,Cetirizine,Thrombocytopenia,5.0,Major
venlafaxine,linaclotide,Anaemia,3.33333,Moderate
Acetaminophen,Cyanocobalamin Co57,Anaemia,1.25,Minor
Vitamin B Complex,Octreotide,Dyspnoea,5.0,Major
tinzaparin,Ceftriaxone,Anaemia,7.5,Major
Melatonin,gemcitabine,Anaemia,5.0,Major
Orphenadrine,montelukast,Anaemia,3.33333,Moderate
Losartan,Amiodarone,Iron deficiency anaemia,3.33333,Moderate
Ethinyl Estradiol,Triamterene,Anaemia,1.11111,Minor
basiliximab,Nifedipine,Anaemia,13.3333,Major
Famotidine,dimethicone,Iron deficiency anaemia,10.0,Major
Levetiracetam,Buprenorphine,Anaemia,0.357143,Minor
Losartan,sildenafil,Anaemia,3.02326,Moderate
Risperidone,Methocarbamol,Lymphoma,10.0,Major
sildenafil,Trazodone,Iron deficiency anaemia,2.5,Moderate
Bifidobacterium bifidum,Allopurinol,Anaemia,15.0,Major
POLYETHYLENE GLYCOL 3350,Hydroxychloroquine,Arthralgia,3.0,Moderate
Metformin,valacyclovir,Anaemia,1.85185,Minor
Azithromycin,ciclesonide,Anaemia,3.33333,Moderate
Paroxetine,ifenprodil,Diarrhoea,3.33333,Moderate
Dexamethasone,Hydromorphone,Iron deficiency anaemia,2.85714,Moderate
Mometasone,Paroxetine,Iron deficiency anaemia,10.0,Major
Simvastatin,Ursodeoxycholate,Anaemia,2.22222,Moderate
raltegravir,levothyroxine,Anaemia,12.5,Major
lacidipine,carvedilol,Chest pain,3.33333,Moderate
Levodopa,Lithium Carbonate,Anaemia,2.5,Moderate
Estradiol,Diltiazem,Iron deficiency anaemia,10.0,Major
infliximab,liothyronine,Chest pain,2.0,Moderate
armodafinil,Ondansetron,Anaemia,10.0,Major
polyethylene glycol 9000,Vitamin B Complex,Dizziness,6.66667,Major
Felodipine,oxybutynin,Anaemia,3.33333,Moderate
Dipyridamole,Fenofibrate,Anaemia,7.14286,Major
repaglinide,nebivolol,Anaemia,1.81818,Minor
ambrisentan,Nitroglycerin,Anaemia,1.875,Minor
Propofol,pregabalin,Anaemia,5.0,Major
Mometasone,mecobalamin,Dizziness,10.0,Major
capecitabine,Cyclophosphamide,Iron deficiency anaemia,2.5,Moderate
Hydrocodone,Morphine,Iron deficiency anaemia,3.91304,Moderate
thyroid (USP),prednisolone,Dizziness,2.5,Moderate
Trimipramine,Flupenthixol,Lymphadenopathy,20.0,Major
Bleomycin,Mechlorethamine,Anaemia,3.75,Moderate
Folic Acid,propiomazine,Atrial fibrillation,40.0,Major
Carboplatin,Mannitol,Anaemia,3.33333,Moderate
ipilimumab,venlafaxine,Anaemia,3.33333,Moderate
amphotericin B liposomal,Tretinoin,Pyrexia,3.33333,Moderate
Vitamin E,vitamin D3,Anaemia,0.357143,Minor
Sodium Oxybate,Sodium Chloride,Anaemia,2.5,Moderate
gadodiamide,Tacrolimus,Anaemia,1.11111,Minor
Chlorthalidone,terbinafine,Diarrhoea,3.33333,Moderate
rivastigmine,Trazodone,Anaemia,4.44444,Moderate
interferon beta-1b,tizanidine,Anaemia,2.38095,Moderate
Miconazole,clobazam,Dizziness,1.66667,Minor
Cholecalciferol,Sodium Oxybate,Anaemia,3.33333,Moderate
Botulinum Toxin Type A,Methotrexate,Anaemia,3.33333,Moderate
POLYETHYLENE GLYCOL 3350,standardized senna concentrate,Iron deficiency anaemia,5.0,Major
Dexamethasone,Heparinoids,Iron deficiency anaemia,10.0,Major
Sulfasalazine,Clotrimazole,Dyspnoea,2.5,Moderate
Prednisone,Lithium,Anaemia,2.5,Moderate
Isosorbide,Magnesium Sulfate,Anaemia,20.0,Major
Levetiracetam,formoterol,Anaemia,2.0,Moderate
Fiber,Methotrexate,Anaemia,3.33333,Moderate
Tramadol,Brompheniramine,Jaundice,10.0,Major
montelukast,Levalbuterol,Iron deficiency anaemia,1.66667,Minor
Benserazide,Folic Acid,Anaemia,3.33333,Moderate
Lidocaine,dimethyl fumarate,Dizziness,1.42857,Minor
terbinafine,Hydroxychloroquine,Anaemia,5.0,Major
Dipyridamole,Trichlormethiazide,Anaemia,20.0,Major
Amlodipine,Caspofungin,Anaemia,1.66667,Minor
latanoprost,Doxazosin,Anaemia,0.909091,Minor
eletriptan,Clotrimazole,Dyspnoea,2.5,Moderate
butalbital,montelukast,Anaemia,1.53846,Minor
Phentermine,Sulfamethoxazole,Dizziness,3.33333,Moderate
certolizumab pegol,Diclofenac,Anaemia,1.15385,Minor
lapatinib,eribulin,Anaemia,1.0,Minor
Dipyridamole,"insulin, isophane",Anaemia,2.5,Moderate
Esomeprazole,Immunoglobulin A,Anaemia,3.33333,Moderate
Simvastatin,Fish Oils,Diarrhoea,2.5,Moderate
Simethicone,Nifedipine,Dyspnoea,1.66667,Minor
levocetirizine,clopidogrel,Anaemia,5.0,Major
pantoprazole,ziprasidone,Anaemia,3.47826,Moderate
valsartan,vildagliptin,Anaemia,1.81818,Minor
Risedronate,Pilocarpine,Palpitations,20.0,Major
venlafaxine,oxcarbazepine,Anaemia,1.25,Minor
